Intent,Statement
Complaint,I didn’t get to do everything I wanted during playtime.
Refusal,I dont want to write
Distress,I dropped my backpack in a puddle now itâs all wet like when SpongeBob leaves the ocean!  
Gratitude,I’m truly grateful for the way it shields me from the cold—it’s like carrying a little piece of sunshine on chilly days.
Distress,"Oh no! My lantern fell and smashed, and I feel all grumpy and unhappy now"
Command,"No, no, no! Let me play first!"
Command,You need to listen to me when I'm explaining something important!
Refusal,I won't!
Comfort,"I wish I could stay in your tight, comfy hug forever."
Desire,I just have to have loads and loads of snacks.
Gratitude,Thanks for my grand castle in Wakefield!  
Emotion,"my stomp is strong, but so am I—and I can choose what I do next."
Distress,Boo boo on hand
Question,What's the design philosophy behind having so many buttons in an aircraft cockpit?
Need,won’t let a dull tip slow me down.
Possession,My doll. 
Observation,The teacher wrote something funny on the board!  
Command,Can you get out of my room? Please!
Imitation,"I’m copying the way robots say, “HEL-LO HU-MAN” with a buzz!"
Question,Where does rain come from?
Need,I have a desire to observe television programming.
Complaint,"I’m trying, but this homework is just too difficult."
Imitation,Woof-woof! I’m copying the sound from the dog song!
Comfort,I love the gentle rhythm of a soothing lullaby.
Complaint,It’s too messy—I need a cleanup crew!
Command,I want you to go low now
Attention,Watch this! I can do a cool trick!
Complaint,It’s not bouncing right and it’s making me feel annoyed.
Gratitude,Thank you for my cosy blanket.
Command,That’s not okay! Stop now
Refusal,I don’t feel like doing that.
Comfort,Rubbing my head feels like a soft lullaby.
Refusal,I said no and I mean it!
Refusal,I don’t want to sing.
Comfort,Tell me a story—it’s like a lullaby for my soul.
Distress,The frustration is making me feel unsettled and flustered.
Emotion,I’m glum like a song playing on a radio I can’t quite tune in.
Command,Sort it out and tidy everything!
Need,prefer the middle swing because it feels just right.
Emotion,That feeling makes me feel like my safety is blinking in surprise.
Question,How can you tell if someone is being brave?
Emotion,"I feel like my hard work whispered, “Oops,” and disappeared."
Refusal,"No, I don’t want to say sorry"
Refusal,"Don’t come here, no!"
Excitement,Look big balloon
Distress,"Ouch, I’m embarrassed I spilled paint on the floor, it’s messy and I’m grumpy"
Desire,I’m super charged to embark on an epic treasure hunt
Question,Is the bird at the front the captain of the group?
Gratitude,I’ll carry today with me like a postcard from a beautiful journey—thank you for that gift.
Distress,"My drawing ripped, now it's ruined!"
Emotion,it’s the kind of happy where everything feels possible—like turning a cardboard box into a rocket ship or a spoon into a magic wand.
Attention,I need to tell you something that happened at playtime today.
Desire,I’m hoping to go outside very soon
Complaint,I trusted him and now I feel betrayed.
Desire,I’d give anything to stay up and roll the dice again
Complaint,She yelled and it made everything go quiet afterward.
Observation,The moon is out even though it's daytime.
Complaint,I took a bite and my mouth yelled “whoa!”
Command,"Just a few more minutes, I’m almost at the best part!"
Attention,Mom! I have a question!
Gratitude,Thanks for taking me to the museum today!  
Gratitude,I’m endlessly thankful for the way your cooking always feels like comfort and celebration in one.
Pride,I finished all my chores without being asked!
Command,"Step away from my heroes, they’re not for playing!"
Possession,This medal is proof that I did great!  
Comfort,A gentle pat would help ease my discomfort.
Emotion,"That feeling makes me feel like my courage is holding a lantern, hoping for a sign."
Gratitude,I’m lucky to have someone who turns ordinary into extraordinary.
Command,Things need homes—put it in its spot!
Imitation,"Mummy, I sound just like a TV presenter!  "
Command,"Put my cup in my hands, quick!"
Comfort,It's so comforting to sip warm soup when I feel a bit chilly.
Complaint,It’s not fair—I’m always the one picking up the mess!
Complaint,"I’ve watched this movie so many times, it’s not fun anymore."
Need,My dragon’s back is calling for bold stripes—will you help me choose the colors?
Desire,Go! 
Desire,I’ve got my heart set on getting sweet treats today.
Question,What's the scientific explanation for puddles gradually vanishing?
Distress,"This jar is a stubborn rock, it just won't budge."
Observation,There's a tiny ant crawling on the kitchen floor.
Question,Can i have bike
Question,Is it okay if I have a sleepover soon?
Attention,Listen to me
Imitation,Swish-swish! I’m pretending to sweep like a broom!
Distress,"I'm heartbroken that my milk spilled on my homework, and now it's ruined forever."
Pride,I learned to play a new song on the ukulele.
Distress,Those sharp words were like tiny thorns hurting my heart and making me feel sad
Emotion,I feel loved when someone remembers my favorite color.
Observation,The river is sparkling
Comfort,Just being with you makes my heart feel at ease.
Command,"Give it back, I’m selecting what we watch!"
Distress,I want a cozy blanket to cuddle and feel all warm and safe inside
Desire,I want to watch the sun set.
Desire,I’d love a car that turns every trip into an adventure.
Imitation,He walks like this
Command,"Go play by yourself, not with me"
Possession,These are my sparkly shoes.
Question,Are fish really able to talk to their fishy pals?
Imitation,I'm going to talk on the phone like a busy grown-up.
Gratitude,"A big cheer for you, for fixing my toy!"
Comfort,I feel better when I snuggle with my blanket.
Imitation,I’m pretending to roar so loud the whole savannah hears me!
Need,I want my bunny
Distress,She whispered a mean secret about me.
Imitation,I’m quacking like I’ve got a beak full of breadcrumbs!
Refusal,"No, no, no! I said no!"
Emotion,I feel nervous but also excited for our trip!  
Command,Can you stop it? Hurry up!
Question,Can you name a few different types of rocks?
Attention,"Mama, I wrote a whole paragraph for English class!  "
Distress,"Ow, the heat makes my skin feel all tight and yucky"
Question,Do I need lessons to learn how to play drums well?
Need,this thing appears to be firmly sealed or stuck; are you capable of opening it?
Excitement,"I got a new Lego set, the big castle one!"
Need,"I want to sleep now, so I feel like I need my blanket put on me."
Desire,I want to be taller than my brother.
Complaint,It’s hard to kick straight and I don’t know what I’m doing wrong.
Comfort,"Can you carry me, Daddy? I need a little rest."
Gratitude,I’m quietly thrilled by the way you made my journey feel extra special—one window seat at a time.
Comfort,Singing is my favorite way to feel all warm and comforted when I'm sad.
Command,Let's take a picture in front of the famous train station! Everyone look!
Imitation,I’m pretending to be your voice’s best friend!
Command,Don’t go any further stop!
Comfort,Let’s shape this statement into something truly comforting.
Attention,Can you hear me?
Refusal,I am not ready to sleep yet!
Refusal,I'm not putting on that silly hat.
Desire,I'd love to go on an exciting camping trip in the forest.
Refusal,"I’m not ready to go inside, no."
Gratitude,Thank you for my fun birthday party.
Command,No touching! I said drop it
Complaint,This is wasting my time and I’d rather be playing games.
Distress,My ear hurts when I touch it.
Complaint,I am angry he broke it
Excitement,We're going to the zoo to see the elephants!
Emotion,It feels like my joy was paused mid-laugh.
Emotion,I feel like a wobbly jellybean when I make goofy faces at myself.
Desire,I wish I could ride a cable car in the mountains!  
Excitement,I got a new coloring book!
Refusal,No orange ugali!
Attention,Up! Pick me up!
Comfort,A cuddly plush is the perfect kind of comfort.
Emotion,"When my toy is missing,I feel like my hugs are looking for their best friend."
Comfort,I want the one with the fluff that tickles my cheeks.
Question,Is it within the realm of possibility for me to be a superhero as an adult?
Command,Give me that!
Command,"Don’t disturb me, I’m in the zone!"
Question,What is this called?
Command,"Scoot closer, don’t be shy"
Emotion,I feel hurt when someone says something unkind.
Possession,"No one can borrow my favorite game, I love playing it!  "
Command,"Stop, or I’ll tell"
Imitation,"Behold, I speak with the might of a thousand sonnets!"
Emotion,"this moment is a gift—a pause, a breath, a reminder that I belong to something calm and beautiful."
Emotion,I feel loved like a spark that’s been noticed and fanned into a flame.
Emotion,Happy! Jumping up and down!
Desire,I need my Easter bunny—it’s my favorite!
Complaint,"I was so excited to answer, and then I got skipped!"
Imitation,I’m crouching like I’m ready to pounce!
Distress,I can’t draw it right and it’s making me feel all frustrated and low
Question,What types of electromagnetic radiation from the sun contribute to warming?
Pride,"I scored the winning goal in the football game, just like Ronaldo!"
Command,Give me that!
Observation,Birdie! Flying high!
Refusal,I’m skipping that—my sparkle’s pointing in a different direction!
Emotion,I'm really annoyed that he keeps copying my dance moves.
Comfort,Pat-pat. Make it better.
Distress,I got lost! Where are you?
Complaint,like I need a bandage because the scratch is sore.
Emotion,It feels like my confidence tripped over a note and fell in front of everyone.
Distress,I hit my head hard and now it feels all ouchy and kind of fuzzy
Refusal,Cross arms!No!You can't change my mind.
Distress,My favourite toy car has a broken wheel and it makes me feel all upset
Desire,I’d love to eat ice cream inside a train and pretend I’m on a dessert express.
Desire,"I’ve set my heart on battling robots, flying dragons, or dancing to neon beats."
Imitation,I’m cooking like I’ve got a kitchen full of magic!
Imitation,I’m talking like I’ve got a meeting in five and a deadline in ten!
Distress,"I'm heartbroken because my toy won't work, and I feel lonely without it."
Command,"Be quiet, I'm trying to listen to the story!"
Comfort,Cuddling on the sofa is like a cozy hug.
Imitation,I’m pretending to plate up pancakes shaped like stars!
Command,"Give me a challenge, I want to see if I remember!"
Pride,I colored a glossy leaf in Colchester!
Need,I'm encountering a very challenging word in my book; your help would be appreciated.
Comfort,I need a little care to help me feel protected.
Need,I need help building my tower!  
Comfort,I need the fluffiest friend to snuggle right now.
Question,What troubleshooting steps can I take if this app fails to download?
Question,When can I go to the next level in my Roblox game?
Complaint,The sunlight is too much and it’s making me feel dizzy.
Imitation,I’m copying the way they smile through every high note!
Emotion,"That feeling makes me feel like my courage is whispering, “You can do it.”"
Excitement,"Look what I can do! I can do a PERFECT split, I'm SO FLEXIBLE!"
Desire,I dream vividly of taking a plane to faraway places every holiday.
Gratitude,I’m thankful for your kindness—it echoed in my thoughts and left a smile behind.
Complaint,"I wanted another taste, but the juice is history"
Gratitude,I deeply appreciate how each curve has brought unexpected lessons and hidden joys.
Observation,I noticed our class fish swimming differently today!  
Gratitude,thank you for helping me with my puzzle—it felt like fitting the final piece into a picture we built together.
Need,"I need a new sticker book, mine's all done."
Question,What are the primary components in a cash machine responsible for counting money?
Command,"Show me you’re done, no, stop it THIS INSTANT"
Emotion,I’m upset like a paper boat caught in a storm it didn’t see coming.
Excitement,Hooray! My train has a cafe inside!  
Emotion,"I’m so happy, I feel light and floaty—like my joy has wings and it’s lifting me up, up, up!"
Refusal,"No, I want to stay right here."
Question,Did my wellies gobble up my shoes like hungry monsters?
Desire,I’d be delighted to cook a pancake that’s a full circle of joy.
Command,"Be quiet, I'm trying to listen to the song!"
Need,I need to put my pencil case in the front pocket for easy reach.
Imitation,Quack-quack! 
Complaint,I don’t like that she took my doll—it made me feel invisible.
Question,"Do superheroes live alone, or do they have special living arrangements?"
Command,Make your room nice again
Refusal,"No, car ride is not for me."
Refusal,"I don't like that song, it's annoying, turn it off the radio!"
Desire,I’d love to live my life as a wizard in Oxford.
Command,Be quiet! I'm trying to listen to the song! This isn't fair!
Need,I wish I could have a sparkly jerk chicken right now; I need it to be special.
Comfort,Can you enrich this statement with more comforting words?
Gratitude,"That big, colourful slide made me super happy, thank you!"
Complaint,This juice is too warm and it’s making me grumpy.
Possession,Her dress.
Desire,I’m craving the charm and magic that comes with a Wonderland tea party!
Pride,Yay! I did it!
Need,I want my pillow
Excitement,Hooray! We finally lit all the festival candles!  
Gratitude,thank you for every “once upon a Tudor time”—they’re my favorite kind of bedtime magic.
Comfort,Having you near makes my worries disappear.
Complaint,"I keep pressing down, but it just squishes instead of cutting."
Pride,I got a smiley face sticker for good behavior!
Imitation,Vroom! Vroom! 
Emotion,Spilling it makes me feel like I lost more than just the thing—I lost a little piece of my joy.
Command,"You make jollof rice today, it is my favourite! Watch me wait!"
Desire,Can we go outside for PE today?  
Distress,"My green biryani plate is gone, and I feel restless and upset"
Complaint,He cheated and it’s making me feel furious inside.
Question,Is it my turn to choose the TV show?
Distress,He hit me and everything feels all wrong and shaky
Pride,I wrapped a silky tamale!
Question,Would you explain how to do that step-by-step?
Need,"My jacket is tricky, I need help."
Distress,I feel perturbed and uneasy when you get cross with me
Excitement,Iâm jumping with joy!
Emotion,I'm furious about what happened!
Need,My energy is low like a drained battery needing a charge.
Observation,I see a pattern in these coloured Lego bricks.
Comfort,Can you hold my hand?
Imitation,I’m copying the way they tuck it in and tie their boots!
Distress,I smacked my elbow and it feels like a mean ouchie monster got me
Command,"Shush, little hands! Stop what you are doing right away!"
Complaint,I don’t like how it tastes—it’s all weird and mushy!
Possession,This pound coin is mine! I earned it while visiting Brighton!  
Distress,"It's not fair! My brother's biscuit is a bigger, happier sun than mine!"
Desire,I long to have that video game waiting for me when I blow out the candles!
Complaint,This weather is not helping my mood.
Observation,The korma curry is fluffy!
Emotion,"When I hear a sad song,I feel like my emotions are dancing slowly in the quiet."
Complaint,It’s broken and I really want it to be fixed soon.
Need,I need your guidance to build this.
Comfort,I need a soft moment to let my worries fade.
Attention,Look at my green biryani!
Need,need it fast so I can breathe and hand it in.
Command,You leave my Beatrix Potter collection alone! Watch me!
Comfort,Pat-pat—I love the kindness in small gestures.
Excitement,I canât wait to make milkshakes!  
Refusal,"Not now, I’m busy playing with my dog!"
Complaint,It’s too bright and I want to go somewhere shady.
Question,How do airports manage to track planes even in busy airspace with many aircraft?
Comfort,I feel hugged just by having someone stay nearby.
Excitement,I found a shell at the beach
Command,I want that floor clean! Clean up your mess! Make it stop being a disaster!
Gratitude,"I like the big, colourful slide."
Desire,I wish I had magic powers.
Refusal,Absolutely not! That costume makes my tummy do nervous flips
Complaint,I feel let down because I didn’t get enough of what I wanted.
Emotion,It feels like my smile is packed away with no one to share it with.
Desire,I’m dying to master every stroke and feel totally at home in the pool.
Question,Can I? Ask please?
Comfort,I need my blanket
Desire,I long to dive into the pages of that new graphic novel.
Refusal,"That’s not for me, I don’t like it."
Attention,Hey
Imitation,"I’m pretending to say, “Goal!” with a leap and a fist pump!"
Distress,I am angry she pushed
Comfort,Your words would make me feel so much comfort if you told me it wasn't real.
Complaint,I feel like I’m not good enough because I wasn’t picked.
Refusal,"No, thank you, I'm not hungry anymore."
Pride,I'm a really good listener.
Comfort,A cup of tea from you would make everything feel softer.
Comfort,I want to feel safe and protected from the storm.
Comfort,Reading a small book makes everything feel gentle.
Need,Potty!
Question,Are some baby birds ready to walk right after hatching?
Question,Why do magic staffs make spells stronger?
Comfort,I need a little stillness to feel at ease.
Command,"Let me have my bag, I need to organize my stuff!"
Refusal,"No eat yucky,yuck means yuck!"
Attention,Can I interrupt for a second?
Comfort,A warm hug would make my heart feel lighter.
Question,Are flowers part of a plant’s life cycle that starts with a seed
Refusal,"No,I’m not doing it your way."
Observation,Fruit looks more colorful when itâs freshly picked!  
Complaint,He cheated and now I don’t know what to do with all this anger.
Question,When can we grab the football and head out to play?
Complaint,It’s like the finish line keeps moving farther away.
Need,Can I please use the scissors? I want to cut out this picture.
Emotion,I angry! Go away!—my feelings are shouting like a lion and I need room to roar.
Distress,I can't find my Woody doll!
Comfort,Just tell me it is not real
Comfort,I need a peaceful space to feel at ease.
Refusal,"I don’t want it, I don’t like it."
Comfort,Your presence would make everything feel softer.
Imitation,Pew-pew! I’m a space cat with laser whiskers!
Gratitude,I felt fancy and grown up—thankoo for my special tea!
Gratitude,much appreciation for the bright colors and endless possibilities—they turn quiet moments into epic building adventures.
Desire,I’d love to savor every bite while the train whistles through tunnels.
Observation,It looks like it's going to be a hot day.
Refusal,I’m not putting that in my mouth.
Possession,"This lantern is mine, I made it!  "
Command,Make it stop being a struggle! Help me with this!
Comfort,Trying my hardest is a victory in itself.
Imitation,I’m pretending to protect the Ashanti kingdom with honor!
Emotion,"When I’m bored,I feel like my sparkle is snoozing in a quiet corner."
imitation,Beep beep
Complaint,He pushed me off the scooter!
Excitement,I'm going to visit my grandparents next week!
Comfort,Being close together makes me feel peaceful.
Excitement,"I got a new Xbox game, it's super cool!"
Question,Why do some animals live underground?
Comfort,The noise is too much—let’s sit somewhere gentle and still.
Desire,I want candy right now—no waiting
Comfort,A steady breath would bring me confidence and ease.
Comfort,Your lap is soft like a teddy bear hug!
Emotion,Iâm a little shy right now.
Desire,I want to feel like one of the toys in Toy Story during our play
Need,I am ready to undertake some piano practice.
Distress,I broke my pencil and now I can’t finish my picture
Question,What's the official capital city of France?
Distress,"My tummy rumbles and hurts, and it's making me feel upset and all jittery inside."
Comfort,Can you hold my hand? I'm feeling a bit scared of the dark.
Excitement,You cheer! Yay!
Distress,"Oh dear, my drawing ripped, and now it's completely ruined, like a sad cloud! And now my mind feels all empty and shuddery!"
Emotion,"When my show isn’t on,I feel like my excitement is knocking on a door that won’t open."
Comfort,I feel so good and safe after having my warm soup.
Question,Where do you imagine superheroes would choose to live if they were real?
Need,I need to dry my hair so it won’t drip on my clothes.
Gratitude,"you made it perfect, just like always—fank you!"
Refusal,"Yuck, I don’t want to eat those."
Emotion,"I feel like my emotions are raindrops sliding down the window—soft, slow, and silent."
Command,"Don't wander off, Daddy! Just tell me another story about Punjab!"
Command,"Pass me the charger, my battery is low!  "
Desire,"I need a train ride with sprinkles, scoops, and scenic stops."
Attention,"Excuse me, Miss, I have a question about the homework."
Command,Where's my spoon? Bring it
Command,Make it today now
Distress,Wet
Comfort,Warm soup makes my insides feel all soft and happy when I'm cold.
Command,"Stop stalling, give me it"
Complaint,Why does my magic wand bend too much?  
Emotion,"I’m down like a swing that’s still, remembering the laughter that once pushed it."
Possession,That's his teddy bear.
Refusal,"I said no—it’s staying with me, always."
Command,"Vacate the area,This is not your spot!"
Imitation,I’m using your phone voice like it’s part of a grown-up game
Refusal,I’m not swallowing that nasty medicine today.
Command,"Step away, I’m deep into my game!"
Gratitude,I’m so lucky to know someone who can turn a banana and a sock into the stars of a hilarious tale.
Imitation,Dada! 
Emotion,I'm delighted to see you!
Complaint,"I was excited to answer, but I missed my chance."
Imitation,I’m copying the way they point to the badge with pride!
Command,Stop playing—hand it back
Complaint,I wish I didn't have to go to bed so early tonight.
Gratitude,"I’m so glad for the people who make the world feel warmer, brighter, and more connected."
Comfort,"Please don't move, just stay here."
Desire,I’m longing for another story to keep the wonder going.
Need,Can you help me build this?  
Question,Are 3D models made from triangles before they get turned into images?
Distress,"Oh no, my drawing ripped and it’s ruined, I’m afraid it’s gone forever"
Refusal,"No, I wonât stop playing!"
Emotion,"I feel cheerful like the garden is giving me a big, colorful hug."
Comfort,Sitting by the window makes me feel peaceful!  
Complaint,I had my hand up and everything—but I didn’t get picked!
Comfort,Can you hold my hand? I'm feeling a bit scared.
Need,"I need new trainers, these ones are too small."
Complaint,"I reached for the sparkly one, but someone else grabbed it"
Complaint,It’s like the shoe is saying “no room for you!”
Pride,I'm really good at reading big chapter books now.
Complaint,CanÃÃÃt finish this puzzle!
Command,"Do something else, stop it right now"
Attention,Are you watching? Iâm about to jump!
Distress,"ouch my leg, it stings so bad and I feel really uncomfortable"
Excitement,Wow! This airplane is bigger than I expected!  
Imitation,I’m moving like I’m part of the trendiest dance ever
Emotion,"Love you! My love is a warm, soft blanket."
Excitement,"Look what I can do, my hands feel strong and steady!"
Gratitude,"thank you for the quiet hum, the easy turns, and the way it makes even traffic feel like a game I’m winning."
Gratitude,"Mama, you always make the best biscuits, thanks!  "
Need,I always feel happy when you read me dragon stories—they’re full of fire and friendship!
Emotion,"I'm SO INCREDIBLY happy the sun is shining today, it's PERFECT!"
Question,Will someone give a signal when it’s time?
Comfort,A back rub is like a soft lullaby for my worries.
Observation,"It's raining outside, I see the drops."
Comfort,"Can you tell me everything will be okay, like a hero?"
Reaction,Dont touch it
Command,"Hurry up, Mummy help me tie my shoelaces fast"
Refusal,No singing right now.
Distress,I scraped my elbow and it makes me feel upset and a little scared
Command,Don't forget to pack my favourite snack for school!
Emotion,"When I cry,I feel like my emotions are painting pictures I don’t have words for."
Pride,My clay sculpture of a dinosaur is the best in the entire art class!
Complaint,He’s hogging the blocks and it’s making me want to stop playing.
Emotion,I’m upset like a painting that’s been splashed with unkind colors.
Distress,"Waaah! I don't want to go to school, and I'm so downhearted I just want to wail and cry! This isn't fair!"
Distress,"Oh no, I lost my favorite thing and now I’m all frowny and restless"
Refusal,"Thanks, but I’m all full up."
Desire,I’m aching to hear the toaster pop and smell the buttery promise of crumpets.
Complaint,I feel frustrated—I didn’t get what I asked for.
Command,I need snuggles! Come quick!
Complaint,I’m having so much fun and I don’t want it to end.
Complaint,This is boring and I’m losing focus.
Refusal,"No,I refuse to follow your way."
Desire,I’m dreaming of Nairobi’s wild magic—let’s go make it real!
Emotion,"Daddy, I feel really proud of myself!  "
Distress,"Waaah! I desperately wanted to play outside, but the rain is falling so much and it makes me feel all upset and gloomy"
Possession,The cat's bowl.
Distress,I dropped my backpack and now my day feels broken and yucky
Refusal,"My tummy feels full, I can’t eat any more."
Complaint,My suitcase wonât zip properlyâitâs stuffed like Olafâs backpack!  
Comfort,A soft-spoken story would help me feel at ease.
Emotion,"even though it hurts, this feeling is part of being human—and it means I care deeply, even if I’m not sure what about."
Imitation,I am talking like a superhero
Need,My class starts soon—may I have a pen now?
Emotion,Reading a funny book feels like my brain is having a tickle party.
Need,I need a band-aid.
Emotion,"When I can’t find it,I feel like my joy is a balloon that floated away."
Desire,I want to fill pages with words that captivate millions
Need,am serious—no homework is happening today.
Need,My notebook has to fit in my bag without adding bulk.
Need,My hands are slipping on the string—can you grip it tight?
Gratitude,I'm super happy that you fixed my special toy!
Complaint,It’s so dark I can’t even see my own toes!
Question,Is there a scientific reason why cold juice has a more appealing flavor than warm juice?
Need,I must physically possess my passport to get on that plane.
Complaint,There are too many pages and not enough action.
Refusal,"No thanks! I worked hard, and I’m not doing it again."
Emotion,"I donât know why, but I feel mad!"
Gratitude,Thanks a million! Youâre the best!
Command,"Be quiet, please!"
Desire,I wish I could fly to the moon.
Complaint,I feel so upset because he broke my trust.
Refusal,"You can't play with my truck, it's mine, it feels special!"
Emotion,"I feel proud, I did something amazing!  "
Refusal,"No way, Iâm not doing that!"
Desire,I’m hoping someone gives me my Easter bunny soon.
Emotion,"my new hobby makes my heart do a happy dance—it’s something just for me, and I love learning more each day."
Need,I'm looking for an alternative to reading for information.
Comfort,A strong hug would make my worries disappear.
Complaint,I don’t get it—it’s just too tough.
Desire,I’m dreaming about riding my own new bike after Christmas.
Refusal,I wonât give up until I learn this trick!  
Desire,I want to be a scientist when I grow up.
Refusal,I’m not changing my mind—my “no” is singing loud and proud!
Question,Could you give me the exact spelling of dinosaur?
Need,Can someone hand me a napkin?  
Comfort,I need to talk about my school struggles to feel supported.
Observation,Doggy! See the doggy!
Possession,"This sketchbook is mine, I use it every day!  "
Emotion,I feel hurt like a song that was skipped before it reached its best note.
Distress,My glossy vada is broken!
Imitation,Shhh! 
Gratitude,thanks for being the sparkle in my everyday.
Complaint,I don’t like when my favorite biscuits vanish so quickly.
Complaint,My hair is a tangled bird's nest.
Comfort,Just listening brings me peace and reassurance.
Gratitude,Thank you for taking me to see the London Science Museum!  
Command,I want to solve it! Help me with this maths equation! Make it stop being hard!
Complaint,I feel worn out because we’ve been walking for so long.
Gratitude,"thank you for this lovely new picture book—it feels like a window into a world of wonder, wrapped in pages and sprinkled with joy."
Gratitude,I appreciate you packing my lunchbox—it was like opening a little box of care and kindness in the middle of my day.
Attention,"Mama, listen to me whistle like a referee!  "
Need,My throat is dry—can I have more milk?
Imitation,"Mommy, Iâm a princess like Belle!  "
Complaint,I can’t see the TV and I want to move closer.
Desire,I hope my mummy comes to hug me soon.
Desire,I hope we get to go on a trip that fills us with joy and wonder!
Command,"Go away, I don't want to play with you anymore!"
Question,Whyâs my haggis so red?
Refusal,I donât like it
Comfort,Patting gently is like a cozy cloud hug.
Complaint,I feel like I have to keep fixing my socks and it’s frustrating.
Complaint,I don’t like that she keeps peeking at my drawing.
Comfort,Cozy feels like cuddles and soft whispers.
Distress,My toy broke and I feel jittery and sad because it won’t be fixed
Imitation,I’m copying the way they hit every beat like it’s a burst of joy!
Need,I need a snack to fuel my next adventure.
Gratitude,I appreciate the way it keeps me snug while reminding me of you.
Refusal,"Please turn off the radio, that song hurts my ears."
Command,I want you to help me solve this maths equation! Come on
Need,I want to help you make dinner.
Question,"How incredibly unhurried is the slowest animal in the world, and what is it?"
Command,"Sit down at the table and eat your dinner,Enjoy your meal properly!"
Command,"Pass me the remote, it's my turn for the Xbox."
Complaint,It’s like the sparkle got snatched right out of my hands
Desire,I pine to visit the London museum and learn about science up close
Complaint,It was like her voice turned into a megaphone without warning.
Imitation,I’m sailing like I’m the bravest buccaneer on the seven giggle seas!
Observation,The stars look brighter when you go outside the city!  
Command,"You! Hand me my headphones, I want to listen to my favourite song! Do it now!"
Need,I need my radiant scone right now.
Imitation,"Mama, Iâm pretending to be a knight!  "
Distress,I'm devastated that I'm really worried about the test. It's too hard! And now I feel utterly unnerved.
Question,Does the sky need rest after shining all day?
Emotion,I feel proud of my spelling improvement!  
Imitation,"Daddy, Iâm talking in a Shakespearean voice!  "
Distress,"I feel really sad, I need help!  "
Refusal,"I don’t feel like it,and I’m not going to!"
Gratitude,thanks a bunch for caring about something I love.
Distress,"A loud bark from the dog shook me up, my chest beating fast"
Refusal,"I won't sing that song, it's silly."
Need,"I would really like a slice of apple, if that's okay."
Need,I need to go pee-pee right now!
Question,Which city serves as the capital of France?
Imitation,I’m building a roof with my arms stretched high!
Comfort,"Mommy, I need cuddles to feel better.  "
Emotion,The mirror becomes my best audience when I make the silliest faces ever.
Distress,Something feels off and I’m just grumpy and confused and it’s frustrating
Question,Are there different types of lava with different temperatures?
Emotion,"this feeling is like a rollercoaster zooming through my ribs—exciting, a little wild, and hard to ignore."
